serie1,serie2
5.25,0.188571429
1.1,0.9
2.64,0.375
3.04,0.325657895
1.28,0.7734375
4.54,0.218061674
2.2,0.45
4.17,0.237410072
1.12,0.883928571
1.62,0.611111111
2.64,0.375
2.54,0.38976378
1.13,0.876106195
1.67,0.592814371
1.06,0.933962264
1.89,0.523809524
2.97,0.333333333
1.12,0.883928571
3.81,0.25984252
3.79,0.26121372
5.54,0.178700361
2.83,0.349823322
395.1,0.002505695
1.32,0.75
1.15,0.860869565
3.54,0.279661017
1.39,0.712230216
2.43,0.407407407
1.19,0.831932773
1.32,0.75
2.25,0.44
12.67,0.078137332
2.39,0.414225941
2.89,0.342560554
1.37,0.722627737
3.16,0.313291139
1.21,0.818181818
6.51,0.152073733
1.65,0.6
1.02,0.970588235
4.05,0.244444444
1.04,0.951923077
8.64,0.114583333
1,0.99
1.56,0.634615385
1.63,0.607361963
1.08,0.916666667
1.71,0.578947368
4.01,0.246882793
1.13,0.876106195
13.19,0.075056861
2.24,0.441964286
1.3,0.761538462
4.01,0.246882793
2.6,0.380769231
2.47,0.400809717
1.87,0.529411765
3.66,0.270491803
1.69,0.585798817
4.71,0.210191083
12.56,0.078821656
1.1,0.9
8.88,0.111486486
1.5,0.66
1.08,0.916666667
4.25,0.232941176
1.04,0.951923077
1.15,0.860869565
2.24,0.441964286
2,0.495
1.28,0.7734375
1.17,0.846153846
2.58,0.38372093
5.05,0.196039604
3.02,0.32781457
2.37,0.417721519
6.48,0.152777778
1.58,0.626582278
9.93,0.099697885
4.82,0.205394191
1.41,0.70212766
1.95,0.507692308
5.4,0.183333333
0.97,1.020618557
2.1,0.471428571
246.28,0.004019815
2.31,0.428571429
3.41,0.290322581
1.3,0.761538462
1.1,0.9
1.19,0.831932773
5.58,0.177419355
9.09,0.108910891
96.15,0.010296412
6.51,0.152073733
2.62,0.377862595
5.25,0.188571429
1,0.99
1.12,0.883928571
1.69,0.585798817
1.34,0.73880597
6.82,0.14516129
3.83,0.25848564
35.03,0.02826149
1.17,0.846153846
1.26,0.785714286
1.23,0.804878049
2.95,0.33559322
2.18,0.45412844
1.78,0.556179775
1.21,0.818181818
1.73,0.572254335
4.86,0.203703704
4.75,0.208421053
2.7,0.366666667
1.71,0.578947368
2.85,0.347368421
1.86,0.532258065
2.31,0.428571429
1.71,0.578947368
19.78,0.050050556
1.8,0.55
4.78,0.207112971
1.02,0.970588235
1.06,0.933962264
0.97,1.020618557
1.15,0.860869565
2.39,0.414225941
1.21,0.818181818
1,0.99
3.81,0.25984252
5.66,0.174911661
1.41,0.70212766
58.25,0.016995708
2.89,0.342560554
1.41,0.70212766
8.96,0.110491071
9.01,0.109877913
3.39,0.292035398
2.47,0.400809717
1.76,0.5625
3.18,0.311320755
3.33,0.297297297
1.21,0.818181818
3.18,0.311320755
2.62,0.377862595
2.45,0.404081633
1.15,0.860869565
2.39,0.414225941
1.36,0.727941176
1.5,0.66
2.41,0.410788382
1.04,0.951923077
1.52,0.651315789
1.89,0.523809524
4.41,0.224489796
1.67,0.592814371
1.32,0.75
2.16,0.458333333
1.08,0.916666667
3.47,0.285302594
1.47,0.673469388
1.1,0.9
3.5,0.282857143
2.68,0.369402985
69.59,0.014226182
3.33,0.297297297
1,0.99
1.3,0.761538462
1.69,0.585798817
1.62,0.611111111
3.68,0.269021739
1.93,0.512953368
1.23,0.804878049
1.13,0.876106195
10.61,0.0933082
1.82,0.543956044
2.37,0.417721519
13.48,0.073442136
2.18,0.45412844
1.39,0.712230216
1.97,0.502538071
2.41,0.410788382
1.04,0.951923077
1,0.99
1.65,0.6
1.86,0.532258065
1.6,0.61875
11.09,0.089269612
5.36,0.184701493
3.47,0.285302594
52.61,0.018817715
6.48,0.152777778
2.33,0.424892704
1.8,0.55
1.76,0.5625
